name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,,planet_type,temp_planet_date,temp_planet_mass,planet_radius,orbital_radius,orbital_period,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rowupdate
Kepler-200 b,2215,5.18 Earths,13.952,2014,,Neptune-like,2014,5.18 Earths,2.13 x Earth,0.08 AU,8.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-03-2017
Kepler-200 c,2215,3.15 Earths,13.952,2014,,Super Earth,2014,3.15 Earths,1.59 x Earth,0.09 AU,10.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-03-2017
Kepler-201 b,2114,6.62 Earths,12.92,2014,,Neptune-like,2014,6.62 Earths,0.219 x Jupiter,0.175 AU,25.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-03-2017
Kepler-201 c,2114,8.5 Earths,12.92,2014,,Neptune-like,2014,8.5 Earths,0.254 x Jupiter,0.573 AU,151.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-03-2017
Kepler-202 b,938,3.29 Earths,13.843,2014,,Super Earth,2014,3.29 Earths,1.63 x Earth,0.045 AU,4.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-03-2017
Kepler-202 c,938,4.08 Earths,13.843,2014,,Super Earth,2014,4.08 Earths,1.85 x Earth,0.113 AU,16.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30-03-2017
Kepler-203 b,2341,7.13 Earths,13.942,2014,,Neptune-like,2014,7.13 Earths,0.229 x Jupiter,0.043 AU,3.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-203 c,2341,2.36 Jupiters,13.942,2014,,Super Earth,2014,2.36 Jupiters,0.22 x Jupiter,0.061 AU,5.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-203 d,2341,33.9 Earths,13.942,2014,,Super Earth,2014,33.9 Earths,1.44 x Earth,0.1 AU,11.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-204 b,2285,6.94 Earths,13.874,2014,,Neptune-like,2014,6.94 Earths,0.226 x Jupiter,0.117 AU,14.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-204 c,2285,3.86 Earths,13.874,2014,,Super Earth,2014,3.86 Earths,1.79 x Earth,0.173 AU,25.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-205 b,523,2.89 Earths,13.495,2014,,Super Earth,2014,2.89 Earths,1.51 x Earth,0.032 AU,2.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-205 c,523,3.33 Earths,13.495,2014,,Super Earth,2014,3.33 Earths,1.64 x Earth,0.122 AU,20.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-206 b,1973,1.87 Earths,13.461,2014,,Super Earth,2014,1.87 Earths,1.2 x Earth,0.078 AU,7.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-206 c,1973,3.78 Earths,13.461,2014,,Super Earth,2014,3.78 Earths,1.77 x Earth,0.111 AU,13.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-206 d,1973,1.81 Earths,13.461,2014,,Super Earth,2014,1.81 Earths,1.19 x Earth,0.163 AU,23.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-207 b,2930,3.09 Earths,13.167,2014,,Super Earth,2014,3.09 Earths,1.57 x Earth,0.029 AU,1.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-207 c,2930,2.86 Earths,13.167,2014,,Super Earth,2014,2.86 Earths,1.5 x Earth,0.044 AU,3.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-207 d,2930,11 Earths,13.167,2014,,Neptune-like,2014,11 Earths,0.295 x Jupiter,0.068 AU,5.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-208 b,2587,3.29 Earths,13.538,2014,,Super Earth,2014,3.29 Earths,1.63 x Earth,0.054 AU,4.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-208 c,2587,2.51 Earths,13.538,2014,,Super Earth,2014,2.51 Earths,1.39 x Earth,0.079 AU,7.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-208 d,2587,1.87 Earths,13.538,2014,,Super Earth,2014,1.87 Earths,1.2 x Earth,0.103 AU,11.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-208 e,2587,2.79 Earths,13.538,2014,,Super Earth,2014,2.79 Earths,1.48 x Earth,0.132 AU,16.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-209 b,1914,5.73 Earths,13.952,2014,,Neptune-like,2014,5.73 Earths,0.202 x Jupiter,0.122 AU,16.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-209 c,1914,9.8 Earths,13.952,2014,,Neptune-like,2014,9.8 Earths,0.277 x Jupiter,0.231 AU,41.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-20 b,929,9.7 Earths,12.51,2011,,Super Earth,2011,9.7 Earths,1.868 x Earth,0.0463 AU,3.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-20 c,929,12.75 Earths,12.51,2011,,Neptune-like,2011,12.75 Earths,0.272 x Jupiter,0.0949 AU,10.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-20 d,929,10.07 Earths,12.51,2011,,Neptune-like,2011,10.07 Earths,0.245 x Jupiter,0.3506 AU,77.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-20 e,929,3.08 Earths,12.51,2011,,Terrestrial,2011,3.08 Earths,0.865 x Earth,0.0639 AU,6.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-20 f,929,14.3 Earths,12.51,2011,,Super Earth,2011,14.3 Earths,1.003 x Earth,0.1396 AU,19.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-20 g,929,19.96 Earths,12.51,2016,,Neptune-like,2016,19.96 Earths,0.42 x Jupiter,0.2055 AU,34.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-210 b,764,8.96 Earths,13.804,2014,,Neptune-like,2014,8.96 Earths,0.262 x Jupiter,0.032 AU,2.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,06-10-2016
Kepler-210 c,764,12.8 Earths,13.804,2014,,Neptune-like,2014,12.8 Earths,0.323 x Jupiter,0.07 AU,8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-211 b,1018,2.13 Earths,13.273,2014,,Super Earth,2014,2.13 Earths,1.26 x Earth,0.048 AU,4.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-211 c,1018,18.3 Earths,13.273,2014,,Super Earth,2014,18.3 Earths,1.29 x Earth,0.062 AU,6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-212 b,2287,1.32 Earths,12.987,2014,,Super Earth,2014,1.32 Earths,1.09 x Earth,0.133 AU,16.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-212 c,2287,7.95 Earths,12.987,2014,,Neptune-like,2014,7.95 Earths,0.244 x Jupiter,0.207 AU,31.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-213 b,2110,3.26 Earths,13.602,2014,,Super Earth,2014,3.26 Earths,1.62 x Earth,0.036 AU,2.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-213 c,2110,6.08 Earths,13.602,2014,,Neptune-like,2014,6.08 Earths,0.209 x Jupiter,0.057 AU,4.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-214 b,4084,7.32 Earths,13.906,2014,,Neptune-like,2014,7.32 Earths,0.233 x Jupiter,0.13 AU,15.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-214 c,4084,5.18 Earths,13.906,2014,,Neptune-like,2014,5.18 Earths,2.13 x Earth,0.194 AU,28.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-215 b,1608,3.26 Earths,13.555,2014,,Super Earth,2014,3.26 Earths,1.62 x Earth,0.084 AU,9.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-215 c,1608,3.78 Earths,13.555,2014,,Super Earth,2014,3.78 Earths,1.77 x Earth,0.113 AU,14.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-215 d,1608,23.6 Earths,13.555,2014,,Super Earth,2014,23.6 Earths,0.213 x Jupiter,0.185 AU,30.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-215 e,1608,3.71 Earths,13.555,2014,,Super Earth,2014,3.71 Earths,1.75 x Earth,0.314 AU,68.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-216 b,4010,6.12 Earths,13.961,2014,,Neptune-like,2014,6.12 Earths,0.21 x Jupiter,0.079 AU,7.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-216 c,4010,9.48 Earths,13.961,2014,,Neptune-like,2014,9.48 Earths,0.271 x Jupiter,0.136 AU,17.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-217 b,3722,5.6 Earths,13.121,2014,,Neptune-like,2014,5.6 Earths,2.23 x Earth,0.065 AU,5.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-217 c,3722,4.08 Earths,13.121,2014,,Super Earth,2014,4.08 Earths,1.85 x Earth,0.089 AU,8.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-217 d,3722,2.3 Earths,13.121,2016,,Super Earth,2016,2.3 Earths,1.32 x Earth,Unknown,3.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-218 b,2182,2.79 Earths,13.907,2014,,Super Earth,2014,2.79 Earths,1.48 x Earth,0.046 AU,3.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-218 c,2182,10 Earths,13.907,2014,,Neptune-like,2014,10 Earths,0.28 x Jupiter,0.248 AU,44.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-218 d,2182,7.56 Earths,13.907,2016,,Neptune-like,2016,7.56 Earths,0.237 x Jupiter,Unknown,124.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-219 b,2627,9.01 Earths,13.718,2014,,Neptune-like,2014,9.01 Earths,0.263 x Jupiter,0.057 AU,4.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10-05-2016
Kepler-219 c,2627,12.5 Earths,13.718,2014,,Neptune-like,2014,12.5 Earths,0.319 x Jupiter,0.165 AU,22.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-219 d,2627,19.1 Earths,13.718,2014,,Super Earth,2014,19.1 Earths,0.251 x Jupiter,0.272 AU,47.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-21 b,355,5.08 Earths,8.25,2012,,Super Earth,2012,5.08 Earths,1.639 x Earth,0.042717 AU,2.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-220 b,561,0.457 Earths,12.857,2014,,Terrestrial,2014,0.457 Earths,0.81 x Earth,0.046 AU,4.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-220 c,561,3.09 Earths,12.857,2014,,Super Earth,2014,3.09 Earths,1.57 x Earth,0.076 AU,9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-220 d,561,0.904 Earths,12.857,2014,,Terrestrial,2014,0.904 Earths,0.98 x Earth,0.163 AU,28.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-220 e,561,2.33 Earths,12.857,2014,,Super Earth,2014,2.33 Earths,1.33 x Earth,0.226 AU,45.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-221 b,1271,3.57 Earths,13.749,2014,,Super Earth,2014,3.57 Earths,1.71 x Earth,0.037 AU,2.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-221 c,1271,15.1 Earths,13.749,2014,,Super Earth,2014,15.1 Earths,0.261 x Jupiter,0.059 AU,5.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-221 d,1271,7.9 Earths,13.749,2014,,Neptune-like,2014,7.9 Earths,0.244 x Jupiter,0.087 AU,10 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-221 e,1271,7.41 Earths,13.749,2014,,Neptune-like,2014,7.41 Earths,0.235 x Jupiter,0.13 AU,18.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-222 b,2530,10.1 Earths,15.06,2014,,Neptune-like,2014,10.1 Earths,0.282 x Jupiter,0.048 AU,3.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-222 c,2530,19.4 Earths,15.06,2014,,Neptune-like,2014,19.4 Earths,0.414 x Jupiter,0.091 AU,10.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-222 d,2530,13.2 Earths,15.06,2014,,Neptune-like,2014,13.2 Earths,0.329 x Jupiter,0.18 AU,28.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-223 b,6395,7.4 Earths,15.395,2014,,Neptune-like,2014,7.4 Earths,0.267 x Jupiter,0.073 AU,7.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-223 c,6395,5.1 Earths,15.395,2014,,Neptune-like,2014,5.1 Earths,0.307 x Jupiter,0.088 AU,9.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-08-2016
Kepler-223 d,6395,8 Earths,15.395,2014,,Neptune-like,2014,8 Earths,0.467 x Jupiter,0.116 AU,14.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-08-2016
Kepler-223 e,6395,4.8 Earths,15.395,2014,,Neptune-like,2014,4.8 Earths,0.41 x Jupiter,0.14 AU,19.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-08-2016
Kepler-224 b,2609,2.51 Earths,15.636,2014,,Super Earth,2014,2.51 Earths,1.39 x Earth,0.038 AU,3.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04-08-2016
Kepler-224 c,2609,9.91 Earths,15.636,2014,,Neptune-like,2014,9.91 Earths,0.278 x Jupiter,0.058 AU,5.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-224 d,2609,5.9 Earths,15.636,2014,,Neptune-like,2014,5.9 Earths,0.205 x Jupiter,0.089 AU,11.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-224 e,2609,4.54 Earths,15.636,2014,,Super Earth,2014,4.54 Earths,1.97 x Earth,0.124 AU,18.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-225 b,1859,1.87 Earths,15.95,2014,,Super Earth,2014,1.87 Earths,1.2 x Earth,0.056 AU,6.7 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-225 c,1859,4.04 Earths,15.95,2014,,Super Earth,2014,4.04 Earths,1.84 x Earth,0.111 AU,18.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-226 b,3289,24 Earths,15.403,2014,,Super Earth,2014,24 Earths,1.55 x Earth,0.047 AU,3.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-226 c,3289,0.142 Jupiters,15.403,2014,,Super Earth,2014,0.142 Jupiters,0.203 x Jupiter,0.058 AU,5.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-226 d,3289,1.98 Earths,15.403,2014,,Super Earth,2014,1.98 Earths,1.22 x Earth,0.076 AU,8.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-227 b,3645,9.85 Earths,15.323,2014,,Neptune-like,2014,9.85 Earths,0.277 x Jupiter,0.09 AU,9.5 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-227 c,3645,9.48 Earths,15.323,2014,,Neptune-like,2014,9.48 Earths,0.271 x Jupiter,0.29 AU,54.4 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-228 b,5626,2.96 Earths,15.704,2014,,Super Earth,2014,2.96 Earths,1.53 x Earth,0.038 AU,2.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-228 c,5626,7.75 Earths,15.704,2014,,Neptune-like,2014,7.75 Earths,0.241 x Jupiter,0.052 AU,4.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-228 d,5626,15.4 Earths,15.704,2014,,Neptune-like,2014,15.4 Earths,0.36 x Jupiter,0.101 AU,11.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-229 b,2759,5.48 Earths,15.826,2014,,Neptune-like,2014,5.48 Earths,2.2 x Earth,0.062 AU,6.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-229 c,2759,21.5 Earths,15.826,2014,,Neptune-like,2014,21.5 Earths,0.439 x Jupiter,0.117 AU,16.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-229 d,2759,14.2 Earths,15.826,2014,,Neptune-like,2014,14.2 Earths,0.343 x Jupiter,0.22 AU,41.2 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-22 b,620,36 Earths,11.644,2011,,Super Earth,2011,36 Earths,0.212 x Jupiter,0.849 AU,289.9 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-230 b,2468,16.8 Earths,15.073,2014,,Neptune-like,2014,16.8 Earths,0.38 x Jupiter,0.191 AU,32.6 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-230 c,2468,4.82 Earths,15.073,2014,,Super Earth,2014,4.82 Earths,2.04 x Earth,0.38 AU,91.8 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-231 b,1042,35.4 Earths,15.39,2014,,Super Earth,2014,35.4 Earths,1.73 x Earth,0.074 AU,10.1 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
Kepler-231 c,1042,24.1 Earths,15.39,2014,,Super Earth,2014,24.1 Earths,1.93 x Earth,0.114 AU,19.3 days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14-05-2014
